,count,integer_1,integer_2,name_1,name_2
951,436,218280,19361860,Video Blogging RPF,mcyt
954,374,236208,7367603,Batman - All Media Types,DC Extended Universe
955,319,969647,7367603,DCU (Comics),DC Extended Universe
959,637,186040,26740493,Chinese Actor RPF,陈情令 | The Untamed (TV) RPF
960,6790,29576,101375,Star Wars Original Trilogy,Star Wars - All Media Types
962,148,254632,46023568,Minecraft - Fandom,Dream SMP - Fandom
963,7568,134900,34555820,IT - Stephen King,IT (Movies - Muschietti)
964,243,6943,13253,Real Person Fiction,Bandom
965,1471,6943,25486,Real Person Fiction,Actor RPF
979,774,31108,130638,Spider-Man (Comicverse),Spider-Man - All Media Types
980,299,31108,138219,Spider-Man (Comicverse),Deadpool (Comics)
982,219,31108,662604,Spider-Man (Comicverse),Deadpool - All Media Types
983,139,31108,727114,Spider-Man (Comicverse),The Avengers (Marvel) - All Media Types
984,132,31108,1001939,Spider-Man (Comicverse),The Avengers (Marvel Movies)
985,760,130638,138219,Spider-Man - All Media Types,Deadpool (Comics)
986,182,130638,586437,Spider-Man - All Media Types,The Avengers - Ambiguous Fandom
987,5536,130638,662604,Spider-Man - All Media Types,Deadpool - All Media Types
988,3565,130638,727114,Spider-Man - All Media Types,The Avengers (Marvel) - All Media Types
989,4489,130638,1001939,Spider-Man - All Media Types,The Avengers (Marvel Movies)
991,577,138219,662604,Deadpool (Comics),Deadpool - All Media Types
992,107,138219,727114,Deadpool (Comics),The Avengers (Marvel) - All Media Types
993,120,138219,1001939,Deadpool (Comics),The Avengers (Marvel Movies)
995,3394,586437,727114,The Avengers - Ambiguous Fandom,The Avengers (Marvel) - All Media Types
996,3445,586437,1001939,The Avengers - Ambiguous Fandom,The Avengers (Marvel Movies)
997,916,662604,727114,Deadpool - All Media Types,The Avengers (Marvel) - All Media Types
998,686,662604,1001939,Deadpool - All Media Types,The Avengers (Marvel Movies)
1000,136,130638,969668,Spider-Man - All Media Types,Spider-Man (Movies - Raimi)
1002,240,2009747,25557882,Big Hero 6 (2014),Big Hero 6: The Series (Cartoon)
1003,142,550814,7059836,EXO (Band),Z.Tao (Musician)
1006,4800,10223,22034,World Wrestling Entertainment,Professional Wrestling
1009,876,4440767,22415121,Far Cry (Video Games),Far Cry 5
1013,2489,447712,964594,Magic Kaito,名探偵コナン | Detective Conan | Case Closed
1014,256,484757,722204,Hawkeye (Comics),Winter Soldier (Comics)
1015,781,722204,727114,Winter Soldier (Comics),The Avengers (Marvel) - All Media Types
1016,1194,41756,2390037,Heathers (1988),Heathers: The Musical - Murphy & O'Keefe
1027,404,721553,6657034,Shingeki no Kyojin | Attack on Titan,進撃の巨人 | Shingeki no Kyojin | Attack on Titan (Movies)
1028,139,721553,8513701,Shingeki no Kyojin | Attack on Titan,進撃！巨人中学校 | Shingeki! Kyojin Chuugakkou | Attack on Titan: Junior High
1030,668,2763279,27768691,Beetlejuice - All Media Types,Beetlejuice - Perfect/Brown & King
1044,339,27874,2282814,The Flash (Comics),The Flash (TV 2014)
